BPOS,BVEL,DEPT,DateTime,GR,HKLD,ROP5,RPM,Run,SPPA,SWOB,Stick_RT,TFLO,TQA,Well,azi,dispEw,dispNs,dls,incl,tvd
32.75,-0.02,640.0,2007-10-14 08:36:20,93.09,106.24,58.08,184.0,run_2,136.34,-0.3,9.0,4475.26,0.68,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
33.04,-0.03,640.0,2007-10-14 08:36:30,93.09,106.58,58.08,134.0,run_2,135.64,-0.64,9.0,4475.26,0.55,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
33.13,0.0,640.0,2007-10-14 08:44:00,95.83,105.46,58.08,134.0,run_2,134.25,0.49,6.0,4475.26,0.14,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
33.12,0.0,640.0,2007-10-14 08:44:10,95.83,105.49,58.08,134.0,run_2,134.26,0.46,6.0,4475.26,0.14,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
33.1,0.0,640.0,2007-10-14 08:44:20,95.83,105.4,58.08,134.0,run_2,134.21,0.55,6.0,4475.26,0.13,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
33.08,0.0,640.0,2007-10-14 08:44:30,93.09,104.98,58.08,134.0,run_2,134.27,0.96,6.0,4475.26,0.13,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
33.05,0.0,640.0,2007-10-14 08:44:40,93.09,105.21,58.08,134.0,run_2,134.38,0.74,6.0,4475.26,0.1,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
33.02,0.0,640.0,2007-10-14 08:44:50,93.09,105.46,58.08,134.0,run_2,134.24,0.48,6.0,4475.26,0.13,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
32.99,0.0,640.0,2007-10-14 08:45:00,93.09,105.06,58.08,134.0,run_2,134.51,0.89,6.0,4475.26,0.13,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
32.94,0.01,640.0,2007-10-14 08:45:10,93.09,105.41,58.08,134.0,run_2,134.32,0.54,6.0,4475.26,0.14,F-4,173.74,-17.5374348768,-38.9296159176,0.0339796587926509,9.24,637.1002752
